Mine ID,Mine Name,District,State,Mine Type,Date / Month,Production Target (Tonnes),Actual Production (Tonnes),Equipment Availability (%),Equipment Downtime (Hours),Rainfall (mm),Blasting Delay (Days),Working Days
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jan-2022,9000,8410,92.0,50,10.9,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Feb-2022,9600,9085,93.5,39,3.8,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Mar-2022,9200,8753,93.8,37,17.8,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Apr-2022,8700,9396,98.5,8,20.1,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,May-2022,9500,7600,86.2,83,78.4,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jun-2022,9300,8319,93.3,40,127.4,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jul-2022,9900,8931,95.0,30,170.4,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Aug-2022,8800,7278,95.5,27,233.2,2,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Sep-2022,9600,8196,96.6,21,219.5,3,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Oct-2022,9200,7573,93.7,38,198.3,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Nov-2022,9900,10068,97.0,19,100.8,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Dec-2022,9500,9643,96.8,19,13.2,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jan-2023,9600,9880,96.3,22,7.5,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Feb-2023,9100,9770,97.3,17,8.6,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Mar-2023,9200,9600,95.5,27,10.3,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Apr-2023,9400,9592,95.8,24,10.0,0,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,May-2023,9400,8450,95.3,28,55.7,2,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jun-2023,9800,7840,88.2,68,112.2,2,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jul-2023,9600,7680,91.7,52,198.8,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Aug-2023,9700,8177,94.1,37,166.2,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Sep-2023,10000,8000,89.0,66,153.4,2,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Oct-2023,9900,7920,90.0,60,128.9,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Nov-2023,9400,9691,97.7,14,59.8,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Dec-2023,9900,9465,94.1,34,12.6,0,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jan-2024,9600,9295,96.0,25,3.4,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Feb-2024,9800,9148,93.3,40,8.0,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Mar-2024,8600,9181,96.8,19,10.5,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Apr-2024,9700,10352,96.8,20,17.6,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,May-2024,9900,10692,97.2,17,53.7,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jun-2024,8900,8624,95.2,30,105.6,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jul-2024,9000,7200,93.9,38,177.2,2,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Aug-2024,9600,8611,95.7,25,170.2,0,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Sep-2024,9500,8619,97.1,18,126.5,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Oct-2024,9700,7823,90.6,54,170.5,0,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Nov-2024,9400,8597,93.4,41,76.9,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Dec-2024,9600,9780,97.2,17,8.7,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jan-2025,9200,9247,95.5,26,10.4,0,24
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Feb-2025,9400,8898,92.8,43,6.9,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Mar-2025,9400,9860,96.2,24,12.1,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Apr-2025,9600,10211,98.5,6,11.0,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,May-2025,10500,10133,94.7,33,54.4,1,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jun-2025,8900,8752,95.5,28,147.3,0,26
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Jul-2025,9500,7600,92.2,47,248.0,4,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Aug-2025,9500,8193,92.8,43,119.8,2,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Sep-2025,9900,7920,86.0,84,183.7,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Oct-2025,9900,7920,92.8,43,148.5,1,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Nov-2025,10200,9092,92.3,46,69.4,0,25
APMDC_GAR_14,Garbham Manganese Mine,Vizianagaram,Andhra Pradesh,Opencast,Dec-2025,9000,9607,98.5,8,8.8,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jan-2022,33400,31972,94.3,34,13.0,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Feb-2022,34300,35763,96.3,23,11.4,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Mar-2022,36100,38017,96.2,23,9.3,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Apr-2022,35100,36172,96.5,22,5.2,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,May-2022,34200,30752,94.1,34,14.8,0,24
