Mine ID,Mine Name,District,State,Mine Type,Date / Month,Production Target (Tonnes),Actual Production (Tonnes),Equipment Availability (%),Equipment Downtime (Hours),Rainfall (mm),Blasting Delay (Days),Working Days
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jan-2022,33400,33280,94.3,34,13.0,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Feb-2022,34300,33090,96.3,23,11.4,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Mar-2022,36100,34520,96.2,23,9.3,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Apr-2022,35100,34520,96.5,22,5.2,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,May-2022,34200,32400,94.1,34,14.8,0,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jun-2022,36200,32440,93.7,38,111.2,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jul-2022,35300,30050,97.0,19,463.8,4,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Aug-2022,35500,30410,93.3,40,220.9,5,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Sep-2022,35800,32440,91.7,52,232.2,3,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Oct-2022,35500,34340,96.0,23,43.5,0,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Nov-2022,36200,35550,97.4,16,10.7,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Dec-2022,34900,35440,98.5,5,7.0,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jan-2023,33000,31540,92.2,45,15.1,0,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Feb-2023,33900,32810,92.6,46,8.7,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Mar-2023,36900,36750,96.0,25,15.7,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Apr-2023,35400,34190,95.2,29,8.5,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,May-2023,35600,32350,94.3,33,11.5,0,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jun-2023,32300,32960,94.4,35,158.9,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jul-2023,34200,30380,93.6,40,340.0,3,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Aug-2023,36100,29960,89.6,65,305.2,3,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Sep-2023,34300,30190,87.2,74,233.9,3,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Oct-2023,33500,34350,97.2,17,39.1,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Nov-2023,34500,33450,92.0,48,11.4,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Dec-2023,35400,33070,97.7,14,6.0,1,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jan-2024,35900,35670,94.7,33,15.7,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Feb-2024,37600,37760,97.5,15,11.2,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Mar-2024,36100,35810,94.0,36,19.8,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Apr-2024,33800,33240,95.3,28,6.4,0,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,May-2024,38800,38250,97.9,13,12.3,0,26
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jun-2024,33500,31500,94.8,30,179.3,2,24
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Jul-2024,34400,30130,90.7,56,453.8,2,25
MOIL_BAL_01,Balaghat Underground Mine,Balaghat,Madhya Pradesh,Underground,Aug-2024,35200,30970,96.7,20,433.1,5,25
