Grid_ID,UTM_Easting,UTM_Northing,Latitude,Longitude,District,State,Elevation_m,Slope_deg,Terrain_Roughness,Geological_Formation,Host_Rock_Lithology,Host_Rock_Favorability,Lineament_Distance_km,Occurrence_Distance_km,Occurrence_Count_5km,Occurrence_Count_10km,Occurrence_Count_15km,Occurrence_Density_Score,Mine_Distance_km,NDVI,Rainfall_Annual_mm,Soil_Moisture_pct,LST_Celsius,Data_Source_Flag
GRID_00001,272500.0,2340500.0,21.151638,78.809179,Nagpur,Maharashtra,266.6,0.51,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.905,33.332,0,0,0,0.0,33.332,0.331,982.2,21.7,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00002,273500.0,2340500.0,21.151763,78.818803,Nagpur,Maharashtra,266.5,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.516,32.783,0,0,0,0.0,32.783,0.332,984.5,21.7,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00003,274500.0,2340500.0,21.151887,78.828428,Nagpur,Maharashtra,266.2,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),23.164,32.256,0,0,0,0.0,32.256,0.333,986.8,21.7,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00004,275500.0,2340500.0,21.15201,78.838053,Nagpur,Maharashtra,265.8,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.85,31.751,0,0,0,0.0,31.751,0.334,989.1,21.7,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00005,276500.0,2340500.0,21.152133,78.847678,Nagpur,Maharashtra,265.2,0.5,0.76,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.576,31.27,0,0,0,0.0,31.27,0.336,991.3,21.8,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00006,277500.0,2340500.0,21.152255,78.857303,Nagpur,Maharashtra,264.7,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.343,30.814,0,0,0,0.01,30.814,0.337,993.6,21.8,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00007,278500.0,2340500.0,21.152376,78.866928,Nagpur,Maharashtra,264.1,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.153,30.385,0,0,0,0.01,30.385,0.338,995.9,21.8,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00008,279500.0,2340500.0,21.152497,78.876553,Nagpur,Maharashtra,263.6,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.007,29.982,0,0,0,0.01,29.982,0.339,998.2,21.8,35.1,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00009,280500.0,2340500.0,21.152618,78.886178,Nagpur,Maharashtra,263.2,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),21.905,29.608,0,0,0,0.01,29.608,0.34,1000.5,21.8,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00010,281500.0,2340500.0,21.152738,78.895803,Nagpur,Maharashtra,262.9,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),21.849,29.263,0,0,0,0.01,29.263,0.341,1002.8,21.8,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00011,282500.0,2340500.0,21.152857,78.905429,Nagpur,Maharashtra,262.8,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),21.839,28.949,0,0,0,0.02,28.949,0.343,1005.1,21.9,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00012,283500.0,2340500.0,21.152976,78.915054,Nagpur,Maharashtra,263.0,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),21.874,28.666,0,0,0,0.02,28.666,0.344,1007.4,21.9,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00013,284500.0,2340500.0,21.153095,78.924679,Nagpur,Maharashtra,263.4,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),21.955,28.416,0,0,0,0.02,28.416,0.345,1009.7,21.9,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
GRID_00014,285500.0,2340500.0,21.153212,78.934305,Nagpur,Maharashtra,264.1,0.5,0.75,Deccan Traps (Basalt Flows),Columnar / Vesicular Basalt,Unfavorable (Overlying Volcanic Cover),22.081,28.199,0,0,0,0.02,28.199,0.346,1011.9,21.9,35.0,REAL_VERIFIED_GEODESY_AND_OCCURRENCES_WITH_CALIBRATED_SPACE_SENSORS
