Occurrence_ID,Occurrence_Name,Mineral,Latitude,Longitude,District,State,Location_Description,Deposit_Type,Geological_Formation,Host_Rock,Historical_Status,Source_Name,Source_Page,Source_Reference
OCC_0001,Balaghat Mine (Bharweli),Manganese,"21°50'00""N","80°14'00""E",Balaghat,Madhya Pradesh,"Bharweli, Manjhara, Manegaon village, Balaghat Tahsil, Toposheet 64C/01",Stratiform metasedimentary bedded oxide,"Mansar Formation, Sausar Group",Phyllite and Sericite Schist,Producing Mine,GSI Bulletin Series A - Economic Geology & MoEF Subsidence Report,1-45,MoEF Mining Letter / GSI Memoir on Balaghat Manganese Belt
OCC_0002,Ukwa Mine,Manganese,"21°58'00""N","80°28'00""E",Balaghat,Madhya Pradesh,"Ukwa, Baihar / Balaghat Tahsil, Survey of India Toposheet 64C/05",Stratiform oxide sheet,"Mansar Formation, Sausar Group","Phyllite, Mica Schist and Quartzite",Producing Mine,MoEF Form-A Subsidence Report Ukwa / GSI CR-015895,1-30,Geological Survey of India Eastern Sausar Belt Report
OCC_0003,Tirodi Deposit (South Tirodi),Manganese,"21°40'48""N","79°42'00""E",Balaghat,Madhya Pradesh,"Tirodi town / Katangi Tahsil, Toposheet 55O/10",Stratiform gonditic oxide,"Mansar / Lohangi Formation, Sausar Group","Tirodi Biotite Gneiss, Quartz-Muscovite Schist",Producing Mine,GSI Memoir Vol 22 Pt 7 - Geology of Tirodi Manganese Area,1-192,GSI Publication Series - N. A. Vemban and R. A. Nagarajaiah
OCC_0004,Ramrama - Sonawani Area,Manganese,"21°51'32""N","79°56'10""E",Balaghat,Madhya Pradesh,"Ramrama Village, Waraseoni Tahsil, Toposheet 55O/13",Stratiform metasedimentary,"Mansar Formation / Chorbaoli Contact, Sausar Group",Quartz-Mica Schist and Lohangi Marble,Producing Mine,GSI Bulletin - Geology and Manganese Deposits of Ramrama-Sonawani Area,1-50,GSI Publication Series Part VI - M. R. Subramanyam
OCC_0005,Sitapatore - Sukli Deposit,Manganese,"21°43'15""N","79°44'30""E",Balaghat,Madhya Pradesh,"Sitapathore and Sukli villages, Waraseoni / Katangi Tahsil",Stratiform gondite band,"Mansar Formation, Sausar Group",Biotite Gneiss and Gondite,Known Occurrence,GSI Records & MOIL Annual Mineral Report,45-62,IBM Indian Minerals Yearbook Manganese Chapter
OCC_0006,Miragpur Deposit,Manganese,"21°37'46""N","79°46'16""E",Balaghat,Madhya Pradesh,"Miragpur Village, Katangi / Khairlanji Tahsil, Toposheet 55O/14",Stratiform oxide lens,"Mansar Formation, Sausar Group",Muscovite Schist and Gondite,Known Occurrence,MoEFCC Forest Clearance Brief Summary Miragpur Lease,1-12,MoEFCC Portal Mining Letter No. 111129121212171
OCC_0007,Netra Manganese Project,Manganese,"21°51'52""N","79°58'51""E",Balaghat,Madhya Pradesh,"Netra village, Waraseoni Tahsil, Toposheet 55O/13",Bedded gonditic deposit,"Mansar Formation, Sausar Group",Mica Schist and Quartzite,Prospect,Mindat Database Loc-29114 & GSI Sausar Belt Register,1-10,GSI Central Region Bulletin
OCC_0008,Katangjhari Deposit,Manganese,"21°49'45""N","79°58'15""E",Balaghat,Madhya Pradesh,"Katangjhari village, Lalburra / Waraseoni Tahsil, Toposheet 55O/13",Stratiform gondite band,"Mansar Formation, Sausar Group",Calc-gneiss and Gondite,Deposit,MPPCB Environmental Clearance Executive Summary Katangjhari,1-15,MPPCB State Level Appraisal Committee
OCC_0009,Dongri Buzurg Deposit,Manganese,"21°32'55""N","79°40'58""E",Bhandara,Maharashtra,"Dongri Buzurg, Tumsar Tahsil, Survey of India Toposheet 55O/10",Supergene enriched bedded oxide deposit,"Mansar Formation, Sausar Group",Mica Schist and Gondite,Producing Mine,Maharashtra State Gazetteers - Bhandara District / MOIL Overview,78-95,Directorate of Geology and Mining Maharashtra
OCC_0010,Chikla - Sitasaongi Deposit,Manganese,"21°32'13""N","79°44'54""E",Bhandara,Maharashtra,"Chikla, Yedurbuchi and Sitasaongi villages, Tumsar Tahsil, Toposheet 55O/14",Folded synclinal stratiform oxide,"Mansar Formation, Sausar Group",Sitasaongi Schist and Mansar Muscovite-Schist,Producing Mine,MPCB Environmental Clearance Report & GSI Memoir,12-28,MPCB Public Hearing Executive Summary Chikla
