Mine_ID,Mine_Name,District,State,Mine_Type,Date,Production_Target_Tonnes,Actual_Production_Tonnes,Equipment_Availability_Pct,Equipment_Downtime_Hours,Rainfall_mm,Blasting_Delay_Days,Working_Days,Month,Quarter,Production_Lag_1,Equip_Avail_Lag_1,Downtime_Lag_1,Production_Rolling_3,Equip_Avail_Rolling_3,Downtime_Per_Working_Day,Effective_Capacity
MOIL-01,3,Bhandara,2,1,2022-01-01,30251.0,27898.0,86.6,43.2,9.0,0,24,1,1,25030.485714285714,85.05428571428571,47.13142857142857,25028.766666666666,85.00238095238095,1.8,20.78
MOIL-01,3,Bhandara,2,1,2022-02-01,29168.0,24941.0,85.3,43.8,13.6,0,23,2,1,27898.0,86.6,43.2,27898.0,86.6,1.9,19.62
MOIL-01,3,Bhandara,2,1,2022-03-01,32304.0,30463.0,82.8,65.4,11.6,0,26,3,1,24941.0,85.3,43.8,26419.5,85.94999999999999,2.52,21.53
MOIL-01,3,Bhandara,2,1,2022-04-01,30853.0,27307.0,85.2,37.8,21.9,0,25,4,2,30463.0,82.8,65.4,27767.333333333332,84.89999999999999,1.51,21.3
MOIL-01,3,Bhandara,2,1,2022-05-01,30197.0,28681.0,83.3,54.0,42.2,0,25,5,2,27307.0,85.2,37.8,27570.333333333332,84.43333333333334,2.16,20.82
MOIL-01,3,Bhandara,2,1,2022-06-01,27351.0,23308.0,81.3,53.3,166.5,0,25,6,2,28681.0,83.3,54.0,28817.0,83.76666666666667,2.13,20.32
MOIL-01,3,Bhandara,2,1,2022-07-01,22643.0,17803.0,82.8,41.6,320.7,0,24,7,3,23308.0,81.3,53.3,26432.0,83.26666666666667,1.73,19.87
MOIL-01,3,Bhandara,2,1,2022-08-01,24903.0,22090.0,80.6,50.3,182.2,0,25,8,3,17803.0,82.8,41.6,23264.0,82.46666666666667,2.01,20.15
MOIL-01,3,Bhandara,2,1,2022-09-01,26483.0,17411.0,81.1,48.6,350.2,2,25,9,3,22090.0,80.6,50.3,21067.0,81.56666666666666,1.94,20.27
MOIL-01,3,Bhandara,2,1,2022-10-01,28048.0,26127.0,84.6,57.5,40.7,0,24,10,4,17411.0,81.1,48.6,19101.333333333332,81.49999999999999,2.4,20.3
MOIL-01,3,Bhandara,2,1,2022-11-01,31146.0,25305.0,87.5,33.5,33.6,1,23,11,4,26127.0,84.6,57.5,21876.0,82.1,1.46,20.12
MOIL-01,3,Bhandara,2,1,2022-12-01,29740.0,27817.0,85.8,43.4,9.4,0,26,12,4,25305.0,87.5,33.5,22947.666666666668,84.39999999999999,1.67,22.31
MOIL-01,3,Bhandara,2,1,2023-01-01,29635.0,24286.0,86.8,34.0,8.5,0,23,1,1,27817.0,85.8,43.4,26416.333333333332,85.96666666666665,1.48,19.96
MOIL-01,3,Bhandara,2,1,2023-02-01,30367.0,26160.0,88.4,29.7,19.4,2,23,2,1,24286.0,86.8,34.0,25802.666666666668,86.7,1.29,20.33
MOIL-01,3,Bhandara,2,1,2023-03-01,29709.0,27951.0,91.2,30.0,12.0,0,25,3,1,26160.0,88.4,29.7,26087.666666666668,87.0,1.2,22.8
MOIL-01,3,Bhandara,2,1,2023-04-01,30662.0,26652.0,82.3,58.3,24.4,0,24,4,2,27951.0,91.2,30.0,26132.333333333332,88.8,2.43,19.75
MOIL-01,3,Bhandara,2,1,2023-05-01,31332.0,29364.0,84.3,63.3,31.6,0,26,5,2,26652.0,82.3,58.3,26921.0,87.3,2.43,21.92
MOIL-01,3,Bhandara,2,1,2023-06-01,28000.0,23110.0,79.2,61.5,294.3,0,25,6,2,29364.0,84.3,63.3,27989.0,85.93333333333334,2.46,19.8
MOIL-01,3,Bhandara,2,1,2023-07-01,23408.0,18729.0,81.1,62.0,300.5,0,25,7,3,23110.0,79.2,61.5,26375.333333333332,81.93333333333334,2.48,20.27
MOIL-01,3,Bhandara,2,1,2023-08-01,25326.0,18706.0,82.0,59.6,186.5,2,25,8,3,18729.0,81.1,62.0,23734.333333333332,81.53333333333333,2.38,20.5
MOIL-01,3,Bhandara,2,1,2023-09-01,25662.0,18655.0,79.3,63.7,231.7,0,24,9,3,18706.0,82.0,59.6,20181.666666666668,80.76666666666667,2.65,19.03
MOIL-01,3,Bhandara,2,1,2023-10-01,29736.0,24645.0,86.6,48.7,72.8,0,23,10,4,18655.0,79.3,63.7,18696.666666666668,80.8,2.12,19.92
MOIL-01,3,Bhandara,2,1,2023-11-01,31167.0,31229.0,89.6,34.2,22.2,0,25,11,4,24645.0,86.6,48.7,20668.666666666668,82.63333333333333,1.37,22.4
MOIL-01,3,Bhandara,2,1,2023-12-01,31560.0,27672.0,89.6,33.7,7.1,0,23,12,4,31229.0,89.6,34.2,24843.0,85.16666666666667,1.47,20.61
MOIL-01,3,Bhandara,2,1,2024-01-01,31409.0,28935.0,98.6,4.8,9.0,0,25,1,1,27672.0,89.6,33.7,27848.666666666668,88.59999999999998,0.19,24.65
MOIL-01,3,Bhandara,2,1,2024-02-01,30719.0,25847.0,86.9,39.4,11.3,0,23,2,1,28935.0,98.6,4.8,29278.666666666668,92.60000000000001,1.71,19.99
MOIL-01,3,Bhandara,2,1,2024-03-01,31695.0,27864.0,90.3,31.4,13.2,0,25,3,1,25847.0,86.9,39.4,27484.666666666668,91.69999999999999,1.26,22.58
MOIL-01,3,Bhandara,2,1,2024-04-01,31946.0,29406.0,91.1,33.8,16.7,0,24,4,2,27864.0,90.3,31.4,27548.666666666668,91.93333333333334,1.41,21.86
MOIL-01,3,Bhandara,2,1,2024-05-01,30505.0,31332.0,86.7,54.5,28.1,0,26,5,2,29406.0,91.1,33.8,27705.666666666668,89.43333333333332,2.1,22.54
MOIL-01,3,Bhandara,2,1,2024-06-01,28282.0,23749.0,76.6,84.6,150.6,0,23,6,2,31332.0,86.7,54.5,29534.0,89.36666666666667,3.68,17.62
MOIL-01,3,Bhandara,2,1,2024-07-01,25359.0,19931.0,80.1,51.5,228.8,1,25,7,3,23749.0,76.6,84.6,28162.333333333332,84.8,2.06,20.02
MOIL-01,3,Bhandara,2,1,2024-08-01,23790.0,19918.0,77.1,80.6,199.4,0,26,8,3,19931.0,80.1,51.5,25004.0,81.13333333333333,3.1,20.05
MOIL-01,3,Bhandara,2,1,2024-09-01,27519.0,19026.0,83.2,38.8,245.3,0,23,9,3,19918.0,77.1,80.6,21199.333333333332,77.93333333333334,1.69,19.14
MOIL-01,3,Bhandara,2,1,2024-10-01,27883.0,25102.0,93.4,25.8,85.8,0,25,10,4,19026.0,83.2,38.8,19625.0,80.13333333333333,1.03,23.35
MOIL-01,3,Bhandara,2,1,2024-11-01,31521.0,28647.0,85.6,53.3,30.5,0,25,11,4,25102.0,93.4,25.8,21348.666666666668,84.56666666666668,2.13,21.4
MOIL-01,3,Bhandara,2,1,2024-12-01,30696.0,27331.0,84.5,53.6,11.5,0,24,12,4,28647.0,85.6,53.3,24258.333333333332,87.40000000000002,2.23,20.28
MOIL-01,3,Bhandara,2,1,2025-01-01,32543.0,30076.0,90.5,34.4,6.7,0,24,1,1,27331.0,84.5,53.6,27026.666666666668,87.83333333333333,1.43,21.72
MOIL-01,3,Bhandara,2,1,2025-02-01,31521.0,21094.0,89.0,29.3,14.8,4,22,2,1,30076.0,90.5,34.4,28684.666666666668,86.86666666666667,1.33,19.58
MOIL-01,3,Bhandara,2,1,2025-03-01,32884.0,28229.0,88.8,33.5,15.4,0,24,3,1,21094.0,89.0,29.3,26167.0,88.0,1.4,21.31
MOIL-01,3,Bhandara,2,1,2025-04-01,31792.0,29644.0,84.9,49.5,23.1,0,25,4,2,28229.0,88.8,33.5,26466.333333333332,89.43333333333334,1.98,21.22
MOIL-01,3,Bhandara,2,1,2025-05-01,31376.0,27863.0,85.3,37.7,38.6,3,25,5,2,29644.0,84.9,49.5,26322.333333333332,87.56666666666666,1.51,21.32
MOIL-01,3,Bhandara,2,1,2025-06-01,29208.0,20094.0,77.1,51.1,158.5,0,22,6,2,27863.0,85.3,37.7,28578.666666666668,86.33333333333333,2.32,16.96
MOIL-01,3,Bhandara,2,1,2025-07-01,26584.0,21371.0,78.6,55.4,278.7,1,26,7,3,20094.0,77.1,51.1,25867.0,82.43333333333332,2.13,20.44
MOIL-01,3,Bhandara,2,1,2025-08-01,25451.0,20312.0,80.3,49.6,286.1,0,25,8,3,21371.0,78.6,55.4,23109.333333333332,80.33333333333333,1.98,20.08
MOIL-01,3,Bhandara,2,1,2025-09-01,29955.0,23443.0,86.7,49.1,169.5,1,24,9,3,20312.0,80.3,49.6,20592.333333333332,78.66666666666667,2.05,20.81
MOIL-01,3,Bhandara,2,1,2025-10-01,30345.0,30840.0,84.7,63.0,43.0,0,26,10,4,23443.0,86.7,49.1,21708.666666666668,81.86666666666666,2.42,22.02
MOIL-01,3,Bhandara,2,1,2025-11-01,30612.0,29448.0,89.9,37.4,28.6,0,24,11,4,30840.0,84.7,63.0,24865.0,83.89999999999999,1.56,21.58
MOIL-01,3,Bhandara,2,1,2025-12-01,33018.0,30600.0,81.9,71.5,9.3,0,25,12,4,29448.0,89.9,37.4,27910.333333333332,87.10000000000001,2.86,20.48
MOIL-02,5,Nagpur,2,1,2022-01-01,22003.0,18718.0,86.8,44.9,7.8,0,23,1,1,17905.942857142858,85.96857142857144,43.22857142857143,17875.10476190476,85.93809523809524,1.95,19.96
MOIL-02,5,Nagpur,2,1,2022-02-01,22340.0,18402.0,87.4,32.1,7.2,0,23,2,1,18718.0,86.8,44.9,18718.0,86.8,1.4,20.1
MOIL-02,5,Nagpur,2,1,2022-03-01,23360.0,22896.0,93.1,22.3,15.9,0,25,3,1,18402.0,87.4,32.1,18560.0,87.1,0.89,23.28
MOIL-02,5,Nagpur,2,1,2022-04-01,22903.0,21464.0,88.9,39.1,18.7,0,25,4,2,22896.0,93.1,22.3,20005.333333333332,89.10000000000001,1.56,22.22
MOIL-02,5,Nagpur,2,1,2022-05-01,23075.0,20156.0,86.6,43.2,42.8,0,25,5,2,21464.0,88.9,39.1,20920.666666666668,89.8,1.73,21.65
MOIL-02,5,Nagpur,2,1,2022-06-01,19626.0,15518.0,81.7,53.5,215.8,0,25,6,2,20156.0,86.6,43.2,21505.333333333332,89.53333333333335,2.14,20.42
MOIL-02,5,Nagpur,2,1,2022-07-01,16949.0,13269.0,79.5,78.6,305.7,0,25,7,3,15518.0,81.7,53.5,19046.0,85.73333333333333,3.14,19.88
MOIL-02,5,Nagpur,2,1,2022-08-01,17474.0,14116.0,79.1,64.8,223.7,0,26,8,3,13269.0,79.5,78.6,16314.333333333334,82.60000000000001,2.49,20.57
MOIL-02,5,Nagpur,2,1,2022-09-01,18874.0,13568.0,80.0,46.0,156.8,3,23,9,3,14116.0,79.1,64.8,14301.0,80.1,2.0,18.4
MOIL-02,5,Nagpur,2,1,2022-10-01,19453.0,17335.0,85.1,51.4,27.6,1,24,10,4,13568.0,80.0,46.0,13651.0,79.53333333333333,2.14,20.42
MOIL-02,5,Nagpur,2,1,2022-11-01,21501.0,18295.0,87.2,41.6,18.9,0,25,11,4,17335.0,85.1,51.4,15006.333333333334,81.39999999999999,1.66,21.8
MOIL-02,5,Nagpur,2,1,2022-12-01,22582.0,21516.0,92.1,30.1,8.4,0,26,12,4,18295.0,87.2,41.6,16399.333333333332,84.10000000000001,1.16,23.95
MOIL-02,5,Nagpur,2,1,2023-01-01,23051.0,23219.0,91.7,23.7,7.1,0,25,1,1,21516.0,92.1,30.1,19048.666666666668,88.13333333333333,0.95,22.92
MOIL-02,5,Nagpur,2,1,2023-02-01,22118.0,18588.0,85.0,37.2,12.4,0,23,2,1,23219.0,91.7,23.7,21010.0,90.33333333333333,1.62,19.55
MOIL-02,5,Nagpur,2,1,2023-03-01,22771.0,20388.0,86.7,47.3,16.5,0,24,3,1,18588.0,85.0,37.2,21107.666666666668,89.60000000000001,1.97,20.81
MOIL-02,5,Nagpur,2,1,2023-04-01,22817.0,18943.0,85.0,42.0,28.1,0,24,4,2,20388.0,86.7,47.3,20731.666666666668,87.8,1.75,20.4
MOIL-02,5,Nagpur,2,1,2023-05-01,22010.0,20237.0,89.4,28.1,21.7,0,25,5,2,18943.0,85.0,42.0,19306.333333333332,85.56666666666666,1.12,22.35
MOIL-02,5,Nagpur,2,1,2023-06-01,21354.0,13314.0,78.0,64.6,214.2,4,24,6,2,20237.0,89.4,28.1,19856.0,87.03333333333335,2.69,18.72
MOIL-02,5,Nagpur,2,1,2023-07-01,18212.0,12745.0,88.0,42.3,314.2,1,24,7,3,13314.0,78.0,64.6,17498.0,84.13333333333334,1.76,21.12
MOIL-02,5,Nagpur,2,1,2023-08-01,18811.0,14673.0,81.3,53.9,283.5,0,24,8,3,12745.0,88.0,42.3,15432.0,85.13333333333334,2.25,19.51
