Mine_ID,Mine_Name,District,State,Mine_Type,Date,Production_Target_Tonnes,Actual_Production_Tonnes,Equipment_Availability_Pct,Equipment_Downtime_Hours,Rainfall_mm,Blasting_Delay_Days,Working_Days
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-01-01,30251.0,27898.0,86.6,43.2,9.0,0,24
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-02-01,29168.0,24941.0,85.3,43.8,13.6,0,23
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-03-01,32304.0,30463.0,82.8,65.4,11.6,0,26
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-04-01,30853.0,27307.0,85.2,37.8,21.9,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-05-01,30197.0,28681.0,83.3,54.0,42.2,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-06-01,27351.0,23308.0,81.3,53.3,166.5,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-07-01,22643.0,17803.0,82.8,41.6,320.7,0,24
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-08-01,24903.0,22090.0,80.6,50.3,182.2,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-09-01,26483.0,17411.0,81.1,48.6,350.2,2,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-10-01,28048.0,26127.0,84.6,57.5,40.7,0,24
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-11-01,31146.0,25305.0,87.5,33.5,33.6,1,23
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2022-12-01,29740.0,27817.0,85.8,43.4,9.4,0,26
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-01-01,29635.0,24286.0,86.8,34.0,8.5,0,23
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-02-01,30367.0,26160.0,88.4,29.7,19.4,2,23
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-03-01,29709.0,27951.0,91.2,30.0,12.0,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-04-01,30662.0,26652.0,82.3,58.3,24.4,0,24
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-05-01,31332.0,29364.0,84.3,63.3,31.6,0,26
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-06-01,28000.0,23110.0,79.2,61.5,294.3,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-07-01,23408.0,18729.0,81.1,62.0,300.5,0,25
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2023-08-01,25326.0,18706.0,82.0,59.6,186.5,2,25
