Mine_ID,Mine_Name,District,State,Mine_Type,Date,Actual,Predicted,Error,Abs_Error,Pct_Error,Month
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-01-01,30076.0,28839.0,1237.0,1237.0,4.11,1
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-02-01,21094.0,25026.0,-3932.0,3932.0,18.64,2
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-03-01,28229.0,28412.0,-183.0,183.0,0.65,3
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-04-01,29644.0,28655.0,989.0,989.0,3.34,4
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-05-01,27863.0,27075.0,788.0,788.0,2.83,5
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-06-01,20094.0,23395.0,-3301.0,3301.0,16.43,6
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-07-01,21371.0,21969.0,-598.0,598.0,2.8,7
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-08-01,20312.0,21090.0,-778.0,778.0,3.83,8
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-09-01,23443.0,25041.0,-1598.0,1598.0,6.82,9
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-10-01,30840.0,27551.0,3289.0,3289.0,10.66,10
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-11-01,29448.0,27301.0,2147.0,2147.0,7.29,11
MOIL-01,Dongri Buzurg Mine,Bhandara,Maharashtra,Underground,2025-12-01,30600.0,29488.0,1112.0,1112.0,3.63,12
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-01-01,22959.0,22576.0,383.0,383.0,1.67,1
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-02-01,18822.0,19414.0,-592.0,592.0,3.15,2
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-03-01,21386.0,20542.0,844.0,844.0,3.95,3
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-04-01,17863.0,18736.0,-873.0,873.0,4.89,4
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-05-01,21026.0,21749.0,-723.0,723.0,3.44,5
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-06-01,16571.0,16574.0,-3.0,3.0,0.02,6
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-07-01,14098.0,14813.0,-715.0,715.0,5.07,7
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-08-01,14714.0,14465.0,249.0,249.0,1.69,8
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-09-01,17225.0,17434.0,-209.0,209.0,1.22,9
MOIL-02,Gumgaon Mine,Nagpur,Maharashtra,Underground,2025-10-01,21496.0,20981.0,515.0,515.0,2.4,10
