Feature,Importance,Importance_Std,Importance_Pct
Production_Target_Tonnes,6547.433751942131,360.2103346609855,82.45
Production_Rolling_3,377.3278132224905,33.762476451899616,4.75
Production_Lag_1,305.7951564912451,50.8189563599308,3.85
Working_Days,239.56316503451345,30.845917339590446,3.02
Rainfall_mm,204.78293708391212,25.75409652040167,2.58
Blasting_Delay_Days,159.35962016276972,23.717299003975096,2.01
Equipment_Downtime_Hours,53.653210443947465,13.571425692738087,0.68
Equip_Avail_Lag_1,28.413749580947865,16.370780522756547,0.36
Mine_Type,27.910976242984454,11.268515920299109,0.35
Downtime_Lag_1,10.089446865550338,13.396493656729822,0.13
Equip_Avail_Rolling_3,5.566939413678244,10.636658933728109,0.07
Quarter,1.750750026642163,1.2447260445478041,0.02
Mine_Name,1.28434149001763,1.4015829452554576,0.02
State,0.09849226117969465,0.15652463588588691,0.0
Effective_Capacity,-3.4760577366653136,11.979287478993683,-0.04
Equipment_Availability_Pct,-4.996502478926641,6.958903314313825,-0.06
Month,-5.7968643055424875,4.310624124083091,-0.07
Downtime_Per_Working_Day,-7.246761450216911,6.972515221261769,-0.09
